guid,front,back,tags
tEtixt)}IT,When are finite automata equivalent?,If they recognize the same language,CS::formal-languages
eV*v&Sva0Y,What is the empty language?,The empty language is the set with no strings,CS::formal-languages
if57MoP4VX,With which symbol is the empty language denoted?,\(\emptyset\),CS::formal-languages
GG~H|E4/kR,Would the equation 1-(2-3) be left- or right-associative?,"Right-associative, as it would bind to the right.",CS::formal-languages
y]e>;/BT8P,Is the class of regular languages closed under the union operation?,Yes. You can prove this by making an NFA with a start state with two epsilon transitions to other finite automatas.,"CS::formal-languages, CS::finite-automata"
Fc9e2u0)T6,What is a string?,A finite sequence of symbols in an alphabet,CS::formal-languages
"qR>2,1Ih)y",Is the empty string \(\varepsilon\) and the empty language \(\emptyset\) the same type of object?,"No, the empty string is a string, the empty language is a set.",CS::formal-languages
s|GK$%KV&@,When are finite automata useful?,When we are attempting to recognize patterns in data.,"CS::formal-languages, CS::finite-automata"
Qof$)1CO+>,What is the empty string?,The empty string is the string of length 0.,CS::formal-languages
g4)1#%G:(z,By which greek symbol is the empty string denoted?,\(\varepsilon\) (epsilon),CS::formal-languages
uWd7h)u*?=,What is the difference between a DFA and NFA in the transition function?,"NFA may have arrows labeled with member of the alphabet or \(\varepsilon\). Zero, one, or many arrows may exit from each state with label \(\varepsilon\). For a DFA for each state and input symbol, there is exactly one unique next state.","CS::formal-languages, CS::finite-automata"
Hy(*Q)7F1F,What happens when an NFA is at a state with multiple ways to proceed after reading the symbol?,"The machine splits into <b>multiple copies</b> of itself, and follows all the possibilities in parallel.","CS::formal-languages, CS::finite-automata"
Cs[~y6#P`(,What happens in an NFA if there is nothing to be done at a state?,"The machine dies, along with the branch of computation associated with it.","CS::formal-languages, CS::finite-automata"
w_gu(?Xe6E,When does an NFA accept the input string?,If <b>any</b> of the copies reach an accept state at the end of the input.,"CS::formal-languages, CS::finite-automata"
ryb4.z)Q`l,"In an NFA, if a state with an \(\varepsilon\) symbol on an exiting arrow is encountered, what happens?","The machine splits into multiple copies, one following each of the exiting \(\varepsilon\)-labeled arrows, and one staying at the current state.","CS::formal-languages, CS::finite-automata"
"DsF^S<C9,_",What is a language?,A language is a set of strings (finite or infinite).,CS::formal-languages
nJjGa=O*XD,What is the objective in complexity theory?,"To classify problems as easy ones, and hard ones.","CS::DM565::Sipser::0::1, CS::DM565::optional, CS::formal-languages"
s*dfgdW(/@,What is the objective in computability theory?,To classify problems as solvable and not solvable.,"CS::DM565::Sipser::0::1, CS::DM565::optional, CS::formal-languages"
O8~!#>m6tS,What is a sequence of objects?,A list of the objects in some order.,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
eMKA8olXA),What is a binary relation?,A relation whose domain is a set of pairs,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
txWhn4n-<S,What is an argument in an function?,An input to a function,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
