guid,front,back,tags
r(kAlWqq|^,What is Just In Time compilation? (JIT),Compilation during runtime. Combines the speed of compiled code with the flexibility of interpretation.,"CS::PLChapter01, CS::PLMisc, CS::programming-languages"
C*qF8j!ItW,What is the downside of JIT?&nbsp;,There is a delay in the initial execution,"CS::PLChapter01, CS::PLMisc, CS::programming-languages"
Btw)&6`CVA,What is Static Analysis?&nbsp;,Analysis of the source code without executing the program,"CS::PLChapter01, CS::programming-languages"
M]|1YiZ.EG,When is a function computable?&nbsp;,When there exists a program which computes it.&nbsp;,"CS::PLChapter01, CS::programming-languages"
PBzRMLG{%;,"Which is used more in practice, compilation or interpretation?&nbsp;",A combination of both.,"CS::PLChapter01, CS::programming-languages"
Q3H[%L#RrH,What is partial evaluation?&nbsp;,A partial evaluator is like a across between an interpreter and a compiler. The partial evaluator will take input and only evaluate the parts of the program the depend on those inputs.&nbsp;,"CS::PLChapter01, CS::programming-languages"
sqaKLYU3s#,What is an interpreter?&nbsp;,"Program that interprets instructions. Fetch-decode-execute. When a language is interpreted, the program runs from the interpreter.&nbsp;","CS::PLChapter01, CS::programming-languages"
h_^Av]9v*.,What is the difference between a compiler and an interpreter?&nbsp;,"A compiler is faster, but less flexible, and an interpreter is slower but more flexible. Compilers will not compile if there is an error in the code, while an interpreter will stop if there is a code. Interpreters also don't generate executables","CS::PLChapter01, CS::programming-languages"
"tPibE,E9T4",How does a partial evaluator work?&nbsp;,"It reads some source code, then builds an abstract syntax tree from which it reads some of the inputs to the program and analyses the program to see when the inputs provided are used in the program.&nbsp;","CS::PLChapter01, CS::programming-languages"
w5jwC1P1Yh,What is an abstract machine?&nbsp;,An abstract machine is a set of data structures and algorithms that can store and run programs. An abstraction of a physical computer.&nbsp;,"CS::PLChapter01, CS::programming-languages"
eOgPlE9>HP,What is the name of the technique that consists of evaluating a program against an input to produce a program that is more efficient than the original,Partial Evaluation,"CS::PLChapter01, CS::programming-languages"
ok61?m![xo,What is a compiler?&nbsp;,"A compiler is a program that is used for translation to target machine code. A compiler directly translates to the machine code and generates an intermediate file, which acts as an executable that you can run.&nbsp;","CS::PLChapter01, CS::programming-languages"
B4Bu>BSvW.,What is the first step of an interpreter’s execution cycle?,Fetching the next instruction to execute from memory,"CS::PLChapter01, CS::programming-languages"
u}4wiz5ft),When were low-level languages used to program the first computers?,1940s,"CS::PLChapter01, CS::programming-languages"
nBRG#83C}w,What is the program that translates assembly to machine code called? ,Assembler,"CS::PLChapter01, CS::programming-languages"
ye-[Vv4YUz,What is OpCode?,A unique code which identifies one of the primitive operations defined by the machine’s hardware,"CS::PLChapter01, CS::programming-languages"
"Q,p8I?Ug)-",The operations for processing primitive data are implemented by what?,ALU (Arithmetic-logic unit),"CS::PLChapter01, CS::programming-languages"
wkbn+(h|_D,What was the most famous computer on which microprogramming was used? ,IBM 360,"CS::PLChapter01, CS::programming-languages"
"icb,G{}V*1",What is the term used for simulation using microprogramming?,Emulation,"CS::PLChapter01, CS::programming-languages"
L#33:g~Z{w,"In real language implementations, is compilation or interpreation usually used?",Both elements are almost always present.,"CS::PLChapter01, CS::programming-languages"
Rb!M0#(`qQ,What kind of machine is the Java Virtual Machine and its bytecode language an example of?,An intermediate machine,"CS::PLChapter01, CS::programming-languages"
QWe78_n$KT,What happens in the <b>Design of Language </b>stage?,"Bindings between primitive constants, types and operations of the language are defined (for example, + indicates addition, and int denotes the type of integers etc.)","CS::PLChapter02, CS::programming-languages"
f2.@I3kq`G,Does there exist programs which are not computable?&nbsp;,The undecidability of the halting problem assures us that there exist functions which are not computable.,"CS::PLChapter03, CS::programming-languages"
e7|HhnD)PJ,How can a program take another program as an input and determine if it terminates?&nbsp;,It can't.,"CS::PLChapter03, CS::programming-languages"
"J04,!w[Eu)",What is the halting problem?&nbsp;,The halting problem is a problem which states that no program can be written to predict whether or not any other program halts after a finite number of steps.,"CS::PLChapter03, CS::programming-languages"
MwnXMpSC*G,<p>Where is a declaration local to a block visible?</p>,<p>That block and all the blocks nested within it</p>,"CS::PLChapter04, CS::programming-languages"
fJKMQEN~|),When does the environment change?&nbsp;,On the entry and exit of a block.,"CS::PLChapter04, CS::programming-languages"
GsFM~Kf->$,What are Denotable Objects?&nbsp;,"Objects to which a name can be given.<div>Here is a non-exhaustive list:&nbsp;</div><div><br><ul><li>Objects whose names are defined by the user: Variables, formal parameters, procedures, user-defined types, labels, modules, user-defined constants, exceptions</li><li>Objects whose names are defined by the programming language: primitive types, primitive operations, predefined constants</li></ul></div>","CS::PLChapter04, CS::programming-languages"
mrD%]O0GfN,<p>When are changes in the environment produced?</p>,<p>At entry and exit from a block</p>,"CS::PLChapter04, CS::programming-languages"
f$sC~2nY:R,Which programming languages are turing complete (meaning they can compute the same set of functions as those computed by a Turing Machine)?,Every general purpose programming language,"CS::PLChapter04, CS::programming-languages"
"D>.keg{,:[",Take the following example: (c-like)<div>{</div><div>&nbsp; &nbsp; int a = 2;&nbsp;</div><div>&nbsp; &nbsp; {...}</div><div>}</div><div>To who is <i>a</i>&nbsp;visible?&nbsp;</div>,"The block it has been declared in, as well as all blocks listed within it, unless there is a new declaration of the same name in that same block.&nbsp;","CS::PLChapter04, CS::programming-languages"
P<&2N$-{/`,"If we have a variable, <i>integer a = 10</i>, do we know whether the name and the object are the same?&nbsp;",The name and the object they denote are never the same. No matter if it's a function or a variable or anything else.&nbsp;,"CS::PLChapter04, CS::programming-languages"
n(-F/dTV54,<p>What is the difference between static and lexical scope?</p>,<p>They are two words for the same thing</p>,"CS::PLChapter04, CS::programming-languages"
v5G4OXS6v+,What are names?&nbsp;,Sequence of characters used to denote something. E.g.&nbsp;<div>int name = 2</div><div>const pi = 3.14&nbsp;</div>,"CS::PLChapter04, CS::programming-languages"
"H*4,}t+O0[",<p>Which functionality manages the allocation of memory for programs and for data?</p>,<p>Interpreter</p>,"CS::PLChapter05, CS::programming-languages"
t9OZuQAs2W,"<p>A stack uses which scheme, LIFO, FIFO or FILO?</p>",<p>LIFO</p>,"CS::PLChapter05, CS::programming-languages"
l_@=3q_+x!,<p>What is the difference in an activation record for a procedure and for a function?</p>,<p>For functions the activation record must also keep tabs on the memory location in which the function stores its return value.</p>,"CS::PLChapter05, CS::programming-languages"
Hw$Sj9V4E5,"<p>A block A is entered, then a block B is entered, with the LIFO scheme, which block do we leave first?</p>",<p>B</p>,"CS::PLChapter05, CS::programming-languages"
HTh)/hF4$_,<p>What is the LIFO scheme?</p>,<p>Last in first out.</p>,"CS::PLChapter05, CS::programming-languages"
DAh63Hq2>f,<p>Is memory management a function of a compiler or interpreter associated with an abstract machine?</p>,<p>Interpreter</p>,"CS::PLChapter05, CS::programming-languages"
h!]pO$.Nx0,<p>When is static memory management performed and by what?</p>,Performed by the compiler before the exeuction starts.,"CS::PLChapter05, CS::programming-languages"
n[b_!<7Ck*,<p>How is the runtime management of the system stack implemented?</p>,<p>By code fragments which the compiler or interpreter inserts immediately before and after the call to a procedure or before the start and after the end of a block</p>,"CS::PLChapter05, CS::programming-languages"
xWgAsTM65n,"<p>What is the memory space allocated on the stack, dedicated to an in-line block or to an activation of a procedure called?</p>",<p>The activation record or frame.</p>,"CS::PLChapter05, CS::programming-languages"
gTB9g6Jo{F,<p>What does the structure of a generic activation record for an in-line block hold?</p>,"<p>Dynamic chain pointer, local variables and intermediate results</p>","CS::PLChapter05, CS::programming-languages"
b9@^!O:`{f,<p>What are intermediate results in an in-line block of an activation record?</p>,"<p>Results which are only needed for something else. For example b = (a + x) / (x + y), a+x and x+y will be calculated and stored before they are divided (depending on the compiler).</p>","CS::PLChapter05, CS::programming-languages"
fyH06kVpT%,<p>What is a procedure?</p>,<p>An independent code module that fulfils some concrete task and is referenced within a larger body of source code</p>,"CS::PLChapter05, CS::programming-languages"
"qD(n~jq||,",<p>Where does statically allocated memory objects reside?</p>,"<p>In a fixed zone of memory which is determined by the compiler, <strong>and they remain there for the entire duration of the program's execution.</strong></p>","CS::PLChapter05, CS::programming-languages"
MCpjP/qbyw,"<p>Are <em>constants, object code and global variables</em> usually statically or dynamically allocated?</p>",<p>Statically</p>,"CS::PLChapter05, CS::programming-languages"
y*zoMgn_7>,<p>What does the dynamic chain pointer store? (recall: in-line block of a generic activation record)</p>,<p>A pointer to the previous activation record on the stack (or to the last activation record created).</p>,"CS::PLChapter05, CS::programming-languages"
d(sgi<^BWa,<p>What does it mean that we are using a stack for memory purposes?</p>,<p>We use them to push activation records or frames.</p>,"CS::PLChapter06, CS::programming-languages"
Dc_FXvXeF`,<p>Why do we need memory?</p>,<p>To store the state of the program</p>,"CS::PLChapter06, CS::programming-languages"
ebT8z5&03@,"<p>Why do we need a stack for dynamic memory, instead of just dumping everything in memory?</p>","<p>We need it for recursion. With recursion we cannot allocate all possible blocks, but we can with a stack.</p>","CS::PLChapter06, CS::programming-languages"
o2IfS+(fK|,<p>How do we implement static scoping?</p>,"<p>We are using the static chain pointer. The compiler adds this pointer to the previous ""father"" block, which contains the known local variable.</p>","CS::PLChapter06, CS::programming-languages"
fK.}{BxeiW,<p>What is an expression?</p>,"<p>A syntactic entity whose evaluation yields a value or does not end, in which case the expression is undefined. There are three main notations, infix, prefix and postfix.</p>","CS::PLChapter06, CS::programming-languages"
N+^H(RU^x{,<p>What are side effects?</p>,<p>Changing the state of computation without returning a value</p>,"CS::PLChapter06, CS::programming-languages"
N(|zBpUv8d,<p>When was if then else introduced?</p>,<p>In ALGOL 60</p>,"CS::PLChapter06, CS::programming-languages"
"gV,DWiLw3B",<p>Why do we not use goto anymore?</p>,<p>It makes the code harder to read</p>,"CS::PLChapter06, CS::programming-languages"
xcgQSj>F4R,<p>What kinds of data structures are we using in memory management ?</p>,<p>Stack and the heap</p>,"CS::PLChapter06, CS::programming-languages"
"xp,^^YRsu;",<p>What is call by result?</p>,"<p>Opposite of value. The value of the result is returned and modified, but is not a reference. foo(result y) {y + 1}, then y would be y + 1 from here on.</p>","CS::PLChapter07, CS::programming-languages"
DhIz*:N2M},<p>Why do we care about tail recursion?</p>,<p>It's faster</p>,"CS::PLChapter07, CS::programming-languages"
HW3uWc;KrQ,<p>What happens to the variable inside of a function using call by result after the function is done running?</p>,<p>It is destroyed (removed from the stack)</p>,"CS::PLChapter07, CS::programming-languages"
fn%_wEb)1:,<p>Why do we care about expressions?</p>,<p>Because we want to compute stuff</p>,"CS::PLChapter07, CS::programming-languages"
PS3YLngzGA,<p>What are the two main ways that parameters are passed?</p>,<p>By value and by reference</p>,"CS::PLChapter07, CS::programming-languages"
