guid,front,back,tags
w5wV?Pi+`L,What does it mean for science to be based on the facts?,"When it is claimed that science is based on the facts, it means that the scientific knowledge is presumed to be claims about the world that can be directly established by a careful, unprejudiced use of the senses.","CS::theory-of-science, CS::WITT::Chapter1"
t*1&`/E+R},What is the objective basis for science?,The objective basis for science is the facts established by a careful and unprejudiced observation of the world.,"CS::theory-of-science, CS::WITT::Chapter1"
KiMyH_mNQJ,Who is credited with causing the break with tradition in reagrds to observations and experiments?,"Galileo is credited with causing the break with tradition in regards to observations and experiments, not solely based on what observations and experiments he mad,e but primarily because of his attitude towards them.","CS::theory-of-science, CS::WITT::Chapter1"
k[jgIy{Mp>,What was Galileo’s view on scientific knowledge?,Galileo believed that scientific knowledge should be based on established facts obtained through observation and experimentation,"CS::theory-of-science, CS::WITT::Chapter1"
Mx[{A;h5=z,What was the historical shift that occurred during the early 17th century in science?,"During the early 17th century there was a shift towards taking observable facts seriously as the basis for scientific knowledge, rather than relying on the authority such as the Bibly or the philosopher Aristotle.","CS::theory-of-science, CS::WITT::Chapter1"
"n;&(),zp9m",What did Galileo challenge regarding falling bodies?,The notation that the speed of falling bodies was regulated by their respective weights.,"CS::theory-of-science, CS::WITT::Chapter1"
n#HRMJi#i9,How did Galileo prove his theory on falling bodies?,He invited the entire university to witness his experiment which proved that two bodies of unequal weight could reach the ground at the same time.,"CS::theory-of-science, CS::WITT::Chapter1"
Nd~|*HU.><,Why was Galileo’s work significant in the birth of modern science?,"Because he challenged authority and relied on observation and experimentation to form his thoeries, which laid the groundwork for the scientific method","CS::theory-of-science, CS::WITT::Chapter1"
Bb+5?hSe<-,"Were John Locke, George Berkeley and David Hume positivists or empericists?",They were the British empiricists in the seventeenth and eighteenth centuries.,"CS::theory-of-science, CS::WITT::Chapter1"
fVQ=m(eEhP,What did positivists berlieve about knowledge?,That knowledge should be derived from the facts of experience.,"CS::theory-of-science, CS::WITT::Chapter1"
iv#KI}6Ny=,How do humans see using their eyes? (Hint: something with a retina…),"Humans use their eytes, which contain a lens and a retine. The lens refracts rays of light from a viewed object to form an image on the retina, which records the information carried by optic nerves to the brain.","CS::theory-of-science, CS::WITT::Chapter1"
nh1@mwW{{Z,Who said “there is more to seeing than meets the eyeball”?,N.R. Hanson,"CS::theory-of-science, CS::WITT::Chapter1"
c]^9!Q38[b,Is it possible for the same physical object to be viewed differently by different people?,"Yes, the perceptual experiences that individual have in the act of seeing are not uniquely determined by the images on their retinas.","CS::theory-of-science, CS::WITT::Chapter1"
